anchor_index,reference_mass_kg,augmented_avg_adc,normalized_adc,noise_std_adc,rng_seed
0,0.000,2.993428,0.00248006,2.000000,42
0,0.000,1.723471,0.00142790,2.000000,42
0,0.000,3.295377,0.00273022,2.000000,42
0,0.000,5.046060,0.00418066,2.000000,42
0,0.000,1.531693,0.00126901,2.000000,42
0,0.000,1.531726,0.00126904,2.000000,42
0,0.000,5.158426,0.00427376,2.000000,42
0,0.000,3.534869,0.00292864,2.000000,42
0,0.000,1.061051,0.00087908,2.000000,42
0,0.000,3.085120,0.00255602,2.000000,42
0,0.000,1.073165,0.00088912,2.000000,42
0,0.000,1.068540,0.00088529,2.000000,42
0,0.000,2.483925,0.00205793,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.875425,0.00072529,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.628495,0.00217771,2.000000,42
0,0.000,0.183952,0.00015240,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,4.931298,0.00408558,2.000000,42
0,0.000,1.548447,0.00128289,2.000000,42
0,0.000,2.135056,0.00176890,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.911235,0.00075496,2.000000,42
0,0.000,2.221845,0.00184080,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.751396,0.00227953,2.000000,42
0,0.000,0.798723,0.00066174,2.000000,42
0,0.000,1.416613,0.00117366,2.000000,42
0,0.000,0.796587,0.00065997,2.000000,42
0,0.000,5.704556,0.00472623,2.000000,42
0,0.000,1.973006,0.00163464,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,3.645090,0.00301996,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.417727,0.00200309,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.393722,0.00198320,2.000000,42
0,0.000,3.476933,0.00288064,2.000000,42
0,0.000,2.342737,0.00194096,2.000000,42
0,0.000,1.768703,0.00146537,2.000000,42
0,0.000,1.397793,0.00115807,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.560312,0.00046422,2.000000,42
0,0.000,1.078722,0.00089372,2.000000,42
0,0.000,4.114244,0.00340865,2.000000,42
0,0.000,2.687237,0.00222638,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.648168,0.00219401,2.000000,42
0,0.000,1.229835,0.00101892,2.000000,42
0,0.000,0.646156,0.00053534,2.000000,42
0,0.000,3.223353,0.00267055,2.000000,42
0,0.000,4.061999,0.00336537,2.000000,42
0,0.000,3.862560,0.00320013,2.000000,42
0,0.000,0.321565,0.00026642,2.000000,42
0,0.000,1.381575,0.00114464,2.000000,42
0,0.000,2.662527,0.00220590,2.000000,42
0,0.000,3.951090,0.00327348,2.000000,42
0,0.000,1.041652,0.00086301,2.000000,42
0,0.000,1.628682,0.00134936,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,3.625052,0.00300336,2.000000,42
0,0.000,4.712480,0.00390429,2.000000,42
0,0.000,1.855980,0.00153768,2.000000,42
0,0.000,4.007066,0.00331986,2.000000,42
0,0.000,2.723272,0.00225623,2.000000,42
0,0.000,0.709760,0.00058804,2.000000,42
0,0.000,2.722791,0.00225583,2.000000,42
0,0.000,5.076073,0.00420553,2.000000,42
0,0.000,1.928348,0.00159764,2.000000,42
0,0.000,5.129287,0.00424962,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,3.643805,0.00301889,2.000000,42
0,0.000,2.174094,0.00180124,2.000000,42
0,0.000,1.401985,0.00116155,2.000000,42
0,0.000,2.183522,0.00180905,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,1.560656,0.00129300,2.000000,42
0,0.000,2.714225,0.00224874,2.000000,42
0,0.000,4.955788,0.00410587,2.000000,42
0,0.000,0.963460,0.00079823,2.000000,42
0,0.000,0.383013,0.00031733,2.000000,42
0,0.000,0.996486,0.00082559,2.000000,42
0,0.000,3.830804,0.00317382,2.000000,42
0,0.000,2.657502,0.00220174,2.000000,42
0,0.000,0.940480,0.00077919,2.000000,42
0,0.000,3.026535,0.00250749,2.000000,42
0,0.000,2.194155,0.00181786,2.000000,42
0,0.000,3.937290,0.00326205,2.000000,42
0,0.000,0.595894,0.00049370,2.000000,42
0,0.000,1.344676,0.00111406,2.000000,42
0,0.000,1.215784,0.00100728,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.592241,0.00214767,2.000000,42
0,0.000,2.522111,0.00208957,2.000000,42
0,0.000,2.010227,0.00166547,2.000000,42
0,0.000,1.530826,0.00126829,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,1.158709,0.00095999,2.000000,42
0,0.000,1.314571,0.00108912,2.000000,42
0,0.000,0.395445,0.00032763,2.000000,42
0,0.000,1.677429,0.00138975,2.000000,42
0,0.000,2.808102,0.00232651,2.000000,42
0,0.000,5.772372,0.00478241,2.000000,42
0,0.000,2.349156,0.00194628,2.000000,42
0,0.000,2.515101,0.00208376,2.000000,42
0,0.000,1.851108,0.00153364,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,1.946972,0.00161307,2.000000,42
0,0.000,2.120460,0.00175680,2.000000,42
0,0.000,6.926484,0.00573860,2.000000,42
0,0.000,1.615278,0.00133826,2.000000,42
0,0.000,2.603095,0.00215667,2.000000,42
0,0.000,1.930576,0.00159948,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,4.285646,0.00355066,2.000000,42
0,0.000,3.503866,0.00290295,2.000000,42
0,0.000,3.582064,0.00296774,2.000000,42
0,0.000,0.181225,0.00015015,2.000000,42
0,0.000,4.805589,0.00398143,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,3.173714,0.00262942,2.000000,42
0,0.000,6.380911,0.00528659,2.000000,42
0,0.000,0.018927,0.00001568,2.000000,42
0,0.000,0.867405,0.00071865,2.000000,42
0,0.000,2.199303,0.00182212,2.000000,42
0,0.000,0.993049,0.00082274,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.137126,0.00177061,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.947185,0.00244174,2.000000,42
0,0.000,0.161152,0.00013351,2.000000,42
0,0.000,5.099869,0.00422524,2.000000,42
0,0.000,0.433493,0.00035915,2.000000,42
0,0.000,1.355877,0.00112334,2.000000,42
0,0.000,3.627034,0.00300500,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.454920,0.00203390,2.000000,42
0,0.000,4.614286,0.00382294,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,2.369268,0.00196294,2.000000,42
0,0.000,2.519766,0.00208763,2.000000,42
0,0.000,3.563646,0.00295248,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,0.000000,0.00000000,2.000000,42
0,0.000,3.043883,0.00252186,2.000000,42
0,0.000,2.593969,0.00214910,2.000000,42
1,0.100,3.500986,0.00290057,2.000000,42
1,0.100,3.692896,0.00305957,2.000000,42
1,0.100,1.639951,0.00135870,2.000000,42
1,0.100,3.464507,0.00287035,2.000000,42
1,0.100,3.586145,0.00297112,2.000000,42
1,0.100,1.571297,0.00130182,2.000000,42
1,0.100,6.731549,0.00557709,2.000000,42
1,0.100,3.947666,0.00327064,2.000000,42
1,0.100,0.617393,0.00051151,2.000000,42
1,0.100,4.313107,0.00357341,2.000000,42
1,0.100,1.050637,0.00087045,2.000000,42
1,0.100,4.574169,0.00378970,2.000000,42
1,0.100,5.317191,0.00440530,2.000000,42
1,0.100,1.358635,0.00112563,2.000000,42
1,0.100,4.926752,0.00408182,2.000000,42
1,0.100,3.825562,0.00316948,2.000000,42
1,0.100,4.644120,0.00384766,2.000000,42
1,0.100,6.793586,0.00562849,2.000000,42
1,0.100,2.509224,0.00207889,2.000000,42
1,0.100,1.492528,0.00123656,2.000000,42
1,0.100,1.220971,0.00101158,2.000000,42
1,0.100,1.368379,0.00113370,2.000000,42
1,0.100,2.845797,0.00235774,2.000000,42
1,0.100,3.682304,0.00305079,2.000000,42
1,0.100,3.553382,0.00294398,2.000000,42
1,0.100,4.654366,0.00385614,2.000000,42
1,0.100,3.026004,0.00250705,2.000000,42
1,0.100,5.907068,0.00489401,2.000000,42
1,0.100,2.470686,0.00204696,2.000000,42
1,0.100,8.440338,0.00699282,2.000000,42
1,0.100,4.251335,0.00352223,2.000000,42
1,0.100,1.285685,0.00106519,2.000000,42
1,0.100,0.858215,0.00071103,2.000000,42
1,0.100,3.964945,0.00328496,2.000000,42
1,0.100,2.553074,0.00211522,2.000000,42
1,0.100,4.428001,0.00366860,2.000000,42
1,0.100,3.946475,0.00326966,2.000000,42
1,0.100,2.854342,0.00236482,2.000000,42
1,0.100,1.306413,0.00108236,2.000000,42
1,0.100,0.000000,0.00000000,2.000000,42
1,0.100,2.106970,0.00174563,2.000000,42
1,0.100,4.712798,0.00390455,2.000000,42
1,0.100,3.428187,0.00284025,2.000000,42
1,0.100,0.508522,0.00042131,2.000000,42
1,0.100,3.346362,0.00277246,2.000000,42
1,0.100,3.770635,0.00312397,2.000000,42
1,0.100,1.232285,0.00102095,2.000000,42
1,0.100,3.307450,0.00274022,2.000000,42
1,0.100,3.116417,0.00258195,2.000000,42
1,0.100,0.714059,0.00059160,2.000000,42
1,0.100,3.715575,0.00307836,2.000000,42
1,0.100,4.121569,0.00341472,2.000000,42
1,0.100,5.166102,0.00428012,2.000000,42
1,0.100,5.107604,0.00423165,2.000000,42
1,0.100,0.244661,0.00020270,2.000000,42
1,0.100,1.124350,0.00093152,2.000000,42
1,0.100,4.030071,0.00333892,2.000000,42
1,0.100,4.027572,0.00333684,2.000000,42
